dataset,reference_year,window,metric_type,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,estimate_or_contrast,direction_flag,notes
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_next,34,210446656.02,0.0015,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_next,34,220153356.19,0.0027,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_next,34,215020059.36,-0.0043,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_to_uninsured_next,34,210446656.02,0.0013,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_to_uninsured_next,34,220153356.19,0.0007,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_to_uninsured_next,34,215020059.36,-0.0024,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_next,34,208732033.55,0.0016,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_next,34,218199064.21,0.0027,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_next,34,212888324.13,-0.0041,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_to_uninsured_next,34,208732033.55,0.0014,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_to_uninsured_next,34,218199064.21,0.0006,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_to_uninsured_next,34,212888324.13,-0.0024,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_next,34,214481233.91,0.0009,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_next,34,221527512.69,0.0019,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_next,34,217825701.33,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
