dataset,reference_year,window,exposure_family,exposure_variant,exposure_kind,alignment,outcome,support_rows,support_weight,months_used,estimate_or_contrast,direction_flag,notes
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,same,medicaid_exit_to_uninsured_next,153,207450502.08,3,0.0035,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,same,persistent_uninsured_h2,306,414901004.16,3,0.0027,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,same,broad_exit_resolved_insured_h2,459,622351506.25,3,0.0007,unexpected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag1,medicaid_exit_to_uninsured_next,152,206399589.89,3,0.0028,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag1,persistent_uninsured_h2,304,412799179.77,3,0.0021,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag1,broad_exit_resolved_insured_h2,456,619198769.66,3,0.0011,unexpected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lead1,medicaid_exit_to_uninsured_next,102,138771975.23,2,0.0021,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lead1,persistent_uninsured_h2,204,277543950.46,2,0.0009,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lead1,broad_exit_resolved_insured_h2,306,416315925.7,2,0.0013,unexpected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag2,medicaid_exit_to_uninsured_next,150,200716273.73,3,0.0019,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag2,persistent_uninsured_h2,300,401432547.47,3,0.0012,expected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,pending_backlog_burden,pending_rate,single,lag2,broad_exit_resolved_insured_h2,450,602148821.2,3,0.0019,unexpected,monthly high-minus-low tertile contrast. Higher pending rate should proxy heavier backlog strain.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,same,medicaid_exit_to_uninsured_next,153,207450502.08,3,-0.001,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,same,persistent_uninsured_h2,306,414901004.16,3,-0.001,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,same,broad_exit_resolved_insured_h2,459,622351506.25,3,-0.0036,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag1,medicaid_exit_to_uninsured_next,152,206399589.89,3,-0.0001,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag1,persistent_uninsured_h2,304,412799179.77,3,-0.0001,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag1,broad_exit_resolved_insured_h2,456,619198769.66,3,-0.002,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lead1,medicaid_exit_to_uninsured_next,102,138771975.23,2,0.002,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lead1,persistent_uninsured_h2,204,277543950.46,2,0.002,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lead1,broad_exit_resolved_insured_h2,306,416315925.7,2,-0.0061,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag2,medicaid_exit_to_uninsured_next,150,200716273.73,3,-0.0009,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag2,persistent_uninsured_h2,300,401432547.47,3,-0.0009,unexpected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,manual_renewal_burden,renewal_form_rate,single,lag2,broad_exit_resolved_insured_h2,450,602148821.2,3,-0.0007,expected,monthly high-minus-low tertile contrast. Higher renewal-by-form rate should proxy heavier manual burden.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,same,medicaid_exit_to_uninsured_next,153,207450502.08,3,-0.0014,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,same,persistent_uninsured_h2,306,414901004.16,3,-0.0014,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,same,broad_exit_resolved_insured_h2,459,622351506.25,3,0.002,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lag1,medicaid_exit_to_uninsured_next,152,206399589.89,3,-0.0019,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lag1,persistent_uninsured_h2,304,412799179.77,3,-0.0019,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lag1,broad_exit_resolved_insured_h2,456,619198769.66,3,-0.001,expected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lead1,medicaid_exit_to_uninsured_next,102,138771975.23,2,-0.0058,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lead1,persistent_uninsured_h2,204,277543950.46,2,-0.0058,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lead1,broad_exit_resolved_insured_h2,306,416315925.7,2,0.0012,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lag2,medicaid_exit_to_uninsured_next,150,200716273.73,3,-0.0003,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
SIPP,2023,core_aug_oct_2023_h2,procedural_termination_burden,procedural_term_share,single,lag2,persistent_uninsured_h2,300,401432547.47,3,-0.001,unexpected,monthly high-minus-low tertile contrast. Higher procedural share should proxy stronger paperwork-driven terminations.
