warning_family,years_affected,official_note_title,official_url,affected_variables_or_families,practical_consequence,mainly_affects,current_handling_recommendation,evidence_basis
monthly_hi_processing_error,2018-2023,Monthly Health Insurance Variables Error,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,"Begin/end month variables for Medicare, Medicaid, and Other coverage; associated edited monthly indicators; associated recoded monthly indicators; corresponding status flags","Naive month-level coverage, spell, and churn construction is not defensible for 2018-2023 without applying the official correction logic.",monthly indicators; spell begin/end variables; status flags,NEEDS YEAR-SPECIFIC CORRECTION,Official user note states the error is present in the 2018-2023 SIPP data files.
hi_begin_end_status_flag_error,2018-2023,Health Insurance Begin/End Month Status Flag Error,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-hi-month-flag-status.html,Status flags for health insurance begin/end month variables,Not-in-universe coding on begin/end status flags can be wrong; flag-based filters are unsafe until corrected.,status flags,NEEDS YEAR-SPECIFIC CORRECTION,Official note says users should recode impacted status flags to 0 when corresponding begin/end variables are missing.
medicaid_end_month_error,2018-2022,Medicaid End-Month Variable Error,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html,EMD_EMONTH and Medicaid spell construction,Some Medicaid spells have invalid end months; raw spell termination dates are not fully reliable in 2018-2022.,spell begin/end variables,NEEDS YEAR-SPECIFIC CORRECTION,Official note gives explicit recode rule when EMD_BMONTH exceeds EMD_EMONTH.
uninsured_care_processing_effects,2018-2023,Processing Error Effects on Uninsured Care,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-processing-error-effects.html,Uninsured care variables and corresponding status flags,Some observations that should receive uninsured-care questions are incorrectly not in universe; uninsured-care outcomes are not prototype-ready without custom repair/imputation after monthly correction.,uninsured-care outcomes; status flags,AVOID,Official note says users should first correct monthly health insurance variables and then impute uninsured-care values themselves.
scrnr_vs_recodes,2018-2021,"_SCRNR" Health Insurance Variables Versus Recodes,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2021-usernotes/scrnr-health-ins-var-vs-recod.html,"EPR_SCRNR, EMC_SCRNR, EMD_SCRNR, EML_SCRNR, EOT_SCRNR",These are incomplete annual indicators and may underestimate coverage by type; they should not be used to estimate annual coverage.,annual indicators,AVOID,Official note explicitly says the screener variables should NOT be used to generate annual health insurance estimates.
scrnr_removed_from_public_use,2022-2024,Health Insurance "_SCRNR" Variables,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-health-ins-scrnr-var.html,"EPR_SCRNR, EMC_SCRNR, EMD_SCRNR, EML_SCRNR, EOT_SCRNR not released on public-use starting with 2022 SIPP",Cross-year code cannot depend on _SCRNR variables beyond 2021 public-use files; annual work must shift to recodes.,annual indicators,SAFE ALTERNATIVE REQUIRED,Official note says the screener variables are not being released starting with 2022 SIPP public-use data.
annual_recode_introduction,2022-2024,Annual Health Insurance Coverage Recodes,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-ann-health-ins-covr-recods.html,"RHICOVANN, RPRIVANN, RPUBANN, RMCAIDANN, RMEDCAREANN, etc.","Annual recodes are available only from 2022 onward, so they cannot be used for a simple 2018-2024 stacked annual specification without back-construction.",annual recodes,CAUTION,Official note says the 2022 SIPP added a set of annual health insurance recodes.
marketplace_variable_scope,2018-2024,Health Insurance Marketplace Coverage,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-health-ins-mrktpl-covr.html,RMARKTPLACE and related marketplace reporting,"RMARKTPLACE does not identify coverage type; it can flag private, Medicaid, or other exchange-obtained coverage.",monthly indicators,CAUTION,Official note states that RMARKTPLACE does not indicate the type of insurance a respondent had.
other_coverage_ambiguity,2018-2024,Other Health Insurance Coverage Reports,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-othr-health-ins-cov-reprts.html,Other health insurance line and related "other coverage" indicators such as EOTMTH,"Other" coverage is substantively ambiguous; it should not be treated as a clean policy category without extra classification work.,monthly indicators,CAUTION,Official note says there is ambiguity as to the type of coverage respondents are reporting on the ?other? line.
coverage_units_not_released,2018-2024 public-use schemas checked,Health Insurance Coverage Units,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2021-usernotes/2021-sipp-health-Insurance-coverage-units.html,"Coverage-unit identifiers such as EHIUNT1, EHIUNT2, EMLUNT, EMDUNT","Coverage-unit analysis is not available in the checked public-use schemas, so within-policy-unit targeting is not currently supportable from public-use SIPP alone.",public-use availability,AVOID,Official note says these variables are not being released on the public-use file; local 2018-2024 schemas do not contain them.
feedback_spell_fix,2021-2024 processing regime,Health Insurance Feedback Spell Fix,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2021-usernotes/health-ins-feedbk-spell-fix.html,End-month spell variables for health insurance types in waves 2+ cases,"Processing changed starting in 2021 to reduce false transitions from incomplete feedback data, which introduces a cross-year comparability caution around spell construction.",spell begin/end variables,CAUTION,Official note says beginning in 2021 SIPP data processing was modified to address false transitions in coverage.
missing_values_some_hi_vars,2020-2021,Missing Values for Some Health Insurance Variables,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2021-usernotes/miss-val-some-health-ins-vars.html,"EHEMPLY1, EPRIVPLAN1, EHDEDPLN1, EMDPLAN, EMILITYPE",Some plan-detail variables have incorrect missingness; these are not suitable for a first churn prototype.,plan-detail variables,AVOID,Official note identifies specific variables with incorrect missing values.
