variable_or_family,years,provisional_category,why,recommended_use_now
SSUID + PNUM + MONTHCODE,2018-2024,SAFE PROTOTYPE,Stable keys across checked schemas; 2024 deep audit found zero duplicate person-month keys.,Use as the core person-month identifier.
SPANEL + SWAVE,2018-2024,SAFE PROTOTYPE,Stable structure variables. Essential for interpreting overlapping panels and waves.,"Use for file structure and cohort parsing, not as a substitute for reference-year definitions."
TEHC_ST,2018-2024,SAFE PROTOTYPE,Stable monthly residence-state variable; 2024 deep audit found it populated on all rows.,Best current candidate for person-month state linkage after excluding non-state codes.
TST_INTV,2018-2024,USE WITH CAUTION,Interview-address state is conceptually different from month-level residence and has universe-related missingness.,"Use as a diagnostic or fallback, not the primary state-month merge key."
TMOVER,2018-2024,USE WITH CAUTION,"Useful for move diagnostics, but it does not replace month-specific residence coding.",Use to flag mobility and inspect merge sensitivity.
WPFINWGT,2018-2024,SAFE PROTOTYPE,Stable main-file weight. Official 2024 guidance recommends the December reference month weight for calendar-year estimation.,"Use for reference-year estimates, with December-positive-weight cohort logic where applicable."
FINYR4,Local 2024 longitudinal file only,USE WITH CAUTION,Locally staged only for the 2024 release and only for the 2020-2023 four-year cohort.,Use only if a 2024-release / 2020-2023 longitudinal design is explicitly chosen.
RHLTHMTH and RPUBMTH,2024 safer; 2018-2023 needs correction,USE WITH CAUTION,"Core monthly coverage recodes are present in all years, but official notes say associated recoded monthly indicators are affected in 2018-2023.",Use 2024 for prototype logic; correct 2018-2023 before stacking.
RPUBTYPE2,2018-2024,USE WITH CAUTION,"Schema labels describe Medicaid/Medical Assistance, but 2024 deep audit plus documentation show this can be broader than pure Medicaid in practice.",Do not use as the sole pure-Medicaid indicator.
EMDMTH,2024 safer; 2018-2023 needs correction,USE WITH CAUTION,"Best current candidate for pure Medicaid month in 2024, but official monthly error notes cover 2018-2023.",Prototype on 2024; apply year-specific correction before using 2018-2023.
EMD_BMONTH + EMD_EMONTH + RMD_CFLG,2018-2023 especially risky,AVOID UNTIL CORRECTED,"Directly implicated by monthly error, status-flag error, and for 2018-2022 the Medicaid end-month error.",Do not use raw values for final churn logic until corrected year-by-year.
RHICOVANN + RPRIVANN + RPUBANN + RMCAIDANN,2022-2024 only,USE WITH CAUTION,Annual recodes are useful for annual summaries but do not exist in 2018-2021 and do not validate monthly churn construction by themselves.,Use only for supplemental annual checks in 2022-2024.
EPR_SCRNR + EMC_SCRNR + EMD_SCRNR + EML_SCRNR + EOT_SCRNR,2018-2021 present; 2022-2024 absent,AVOID,Official notes say these can underestimate annual coverage and they are not released in public-use starting in 2022.,Do not base annual coverage measures or cross-year pipelines on _SCRNR variables.
RMARKTPLACE,2018-2024,USE WITH CAUTION,Official note says it does not identify coverage type.,"Use only as a marketplace-channel flag, not as a payer-type classifier."
EOTMTH and other-coverage family,2018-2024,USE WITH CAUTION,"Official note says "other coverage" is ambiguous, and monthly processing errors also affect other coverage in 2018-2023.",Keep separate from core Medicaid/private/uninsured prototype categories unless separately classified.
