dataset,reference_year,window,exposure_family,exposure_variant,exposure_kind,alignment,outcome,support_rows,support_weight,months_used,estimate_or_contrast,direction_flag,notes
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,same,medicaid_exit_to_uninsured_next,21847,208140509.34,3,0.1504,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,same,persistent_uninsured_h2,21794,207450502.08,3,0.1185,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,same,broad_exit_resolved_insured_h2,21794,207450502.08,3,-0.0695,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag1,medicaid_exit_to_uninsured_next,21726,207089597.15,3,0.0648,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag1,persistent_uninsured_h2,21673,206399589.89,3,0.0386,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag1,broad_exit_resolved_insured_h2,21673,206399589.89,3,-0.0332,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lead1,medicaid_exit_to_uninsured_next,21847,208140509.34,3,0.1681,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lead1,persistent_uninsured_h2,21794,207450502.08,3,0.1331,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lead1,broad_exit_resolved_insured_h2,21794,207450502.08,3,0.0787,unexpected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag2,medicaid_exit_to_uninsured_next,21047,201406281.0,3,0.0463,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag2,persistent_uninsured_h2,20994,200716273.73,3,0.0164,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,pending_backlog_component,pending_rate,component,lag2,broad_exit_resolved_insured_h2,20994,200716273.73,3,0.0064,unexpected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,same,medicaid_exit_to_uninsured_next,35700,341134991.66,5,0.0953,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,same,persistent_uninsured_h2,35615,340051538.03,5,0.0847,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,same,broad_exit_resolved_insured_h2,35615,340051538.03,5,-0.1034,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag1,medicaid_exit_to_uninsured_next,31932,306259200.65,5,0.0572,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag1,persistent_uninsured_h2,31850,305202233.09,5,0.0476,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag1,broad_exit_resolved_insured_h2,31850,305202233.09,5,-0.0601,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lead1,medicaid_exit_to_uninsured_next,36387,346801046.12,5,0.0841,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lead1,persistent_uninsured_h2,36296,345640037.5,5,0.0723,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lead1,broad_exit_resolved_insured_h2,36296,345640037.5,5,-0.0276,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag2,medicaid_exit_to_uninsured_next,24588,236236534.94,4,0.0653,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag2,persistent_uninsured_h2,24524,235411604.32,4,0.0495,expected,Higher pending rate means heavier backlog strain.
SIPP,2023,mature_jun_oct_2023,pending_backlog_component,pending_rate,component,lag2,broad_exit_resolved_insured_h2,24524,235411604.32,4,0.0248,unexpected,Higher pending rate means heavier backlog strain.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,same,medicaid_exit_to_uninsured_next,21847,208140509.34,3,-0.0898,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,same,persistent_uninsured_h2,21794,207450502.08,3,-0.0901,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,same,broad_exit_resolved_insured_h2,21794,207450502.08,3,0.0299,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lag1,medicaid_exit_to_uninsured_next,21726,207089597.15,3,-0.0277,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lag1,persistent_uninsured_h2,21673,206399589.89,3,-0.0311,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lag1,broad_exit_resolved_insured_h2,21673,206399589.89,3,0.03,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lead1,medicaid_exit_to_uninsured_next,21847,208140509.34,3,-0.0823,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lead1,persistent_uninsured_h2,21794,207450502.08,3,-0.0824,expected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lead1,broad_exit_resolved_insured_h2,21794,207450502.08,3,-0.057,unexpected,Higher ex parte renewal should relieve administrative burden.
SIPP,2023,core_aug_oct_2023,ex_parte_component,ex_parte_renewal_rate,component,lag2,medicaid_exit_to_uninsured_next,21047,201406281.0,3,0.0202,unexpected,Higher ex parte renewal should relieve administrative burden.
